AAAIndicator Name,Unnamed: 0,Unnamed: 0.1,Country Name,Country Code,AAAIndicator Name,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Adjusted savings: consumption of fixed capital (% of GNI),10,13,"Egypt, Arab Rep.",EGY,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,6.08803401773,6.0935620707,6.36349763854,6.10697883724,6.04898669029,6.79491670243,6.14440889945,4.95600838,5.20542676868,5.18962941899,5.66529822208,5.77266228099,5.65480092514,6.05864930888,6.23165307678,6.65334746833,6.48697491352,6.06906450213
Adjusted savings: education expenditure (% of GNI),12,15,"Egypt, Arab Rep.",EGY,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.8,4.1,4.3,4.4,4.4111256,4.4111256,4.4111256,4.4111256,4.4111256,4.4111256,4.4111256,4.4111256,4.4111256,4.4111256,4.4111256,4.4111256,4.4111256,4.4111256
"Adolescent fertility rate (births per 1,000 women ages 15-19)",24,27,"Egypt, Arab Rep.",EGY,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,70.7964,66.2676,61.7388,57.21,56.2648,55.3196,54.3744,53.4292,52.484,51.73,50.976,50.222,49.468,48.714,49.9,51.086,52.272,53.458
Age dependency ratio (% of working-age population),25,28,"Egypt, Arab Rep.",EGY,Age dependency ratio (% of working-age population),SP.POP.DPND,81.4268757674,80.0646437978,78.194651473,76.4453678237,74.6870200737,72.7644381542,70.6738508215,68.7574748285,66.8019541142,64.8931891808,63.1380301272,61.5896379418,60.5999362395,59.6058315063,58.7719965198,58.3235934019,58.3646962347,58.5966216016
"Age dependency ratio, old (% of working-age population)",26,29,"Egypt, Arab Rep.",EGY,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,8.84813025744,8.85386882785,8.86061513771,8.84408258543,8.80461706537,8.74116087526,8.65556772668,8.58078609767,8.48817447665,8.3807200959,8.25953676964,8.12911799107,8.03557812003,7.92552677878,7.82655311988,7.7741786037,7.78506704253,7.89127070259
"Age dependency ratio, young (% of working-age population)",27,30,"Egypt, Arab Rep.",EGY,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,72.57874551,71.21077497,69.3340363353,67.6012852383,65.8824030083,64.0232772789,62.0182830949,60.1766887308,58.3137796376,56.5124690849,54.8784933575,53.4605199508,52.5643581195,51.6803047275,50.9454433999,50.5494147981,50.5796291921,50.705350899
Agricultural land (% of land area),28,31,"Egypt, Arab Rep.",EGY,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.26083680747,3.29800592697,3.19097895424,3.25975187101,3.27451906173,3.49892008639,3.30604249334,3.35325732081,3.43965040936,3.42458184741,3.49389723241,3.53910291828,3.54914862625,3.55417148024,3.55818976342,3.7058616706,3.68777939625,3.6365462856
Agricultural land (sq. km),29,32,"Egypt, Arab Rep.",EGY,Agricultural land (sq. km),AG.LND.AGRI.K2,32460.0,32830.0,31764.6,32449.2,32596.2,34830.0,32910.0,33380.0,34240.0,34090.0,34780.0,35230.0,35330.0,35380.0,35420.0,36890.0,36710.0,36200.0
Agriculture value added per worker (constant 2005 US$),32,37,"Egypt, Arab Rep.",EGY,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,1380.35838623,1426.69332618,1481.07598216,1543.75890017,1612.4365179,1614.80498759,1676.85850552,1749.24942775,1770.9227108,1817.0559272,1854.93264719,1906.88562897,1967.33797631,2024.66824268,2091.04765909,2158.38684069,2237.38598153,2306.00667076
"Agriculture, value added (% of GDP)",33,38,"Egypt, Arab Rep.",EGY,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,16.8745819706,16.7792262185,17.2598454607,16.9543533527,17.1136770714,17.3173608533,16.740742618,16.5587110277,16.4621994688,16.3386662311,15.1786436405,14.8648301814,14.0698666647,14.0702400636,13.2238468339,13.62747397,13.9901838153,14.5170221032
"Agriculture, value added (constant 2005 US$)",35,40,"Egypt, Arab Rep.",EGY,"Agriculture, value added (constant 2005 US$)",NV.AGR.TOTL.KD,8739048943.22,8992448034.92,9268573496.33,9586742770.07,9932608950.25,10279848551.0,10629606066.5,11023769893.7,11420680561.9,11818131750.5,12144244041.2,12539679896.1,12947051222.1,13423550449.0,13874101218.1,14314421527.5,14811495197.7,15217338020.4
"Agriculture, value added (constant LCU)",36,41,"Egypt, Arab Rep.",EGY,"Agriculture, value added (constant LCU)",NV.AGR.TOTL.KN,44663673500.0,45958749700.0,47369976200.0,48996080900.0,50763739400.0,52538417200.0,54325963600.0,56340462500.0,58369000000.0,60400300000.0,62067000000.0,64088000000.0,66170000000.0,68605300000.0,70907982200.0,73158378400.0,75698830600.0,77773018700.0
"Birth rate, crude (per 1,000 people)",61,68,"Egypt, Arab Rep.",EGY,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,27.208,26.581,26.088,25.685,25.334,25.026,24.764,24.563,24.435,24.378,24.374,24.401,24.427,24.427,24.377,24.263,24.078,23.823
