AAAIndicator Name,Unnamed: 0,Unnamed: 0.1,Country Name,Country Code,AAAIndicator Name,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Adjusted net national income (constant 2005 US$),1,1,India,IND,Adjusted net national income (constant 2005 US$),NY.ADJ.NNTY.KD,3.69072217224e+11,3.92392848753e+11,4.19325520969e+11,4.44863799349e+11,4.79246909407e+11,5.19566142679e+11,5.30856177848e+11,5.55019117625e+11,5.69853484726e+11,6.1971815576e+11,6.59999038866e+11,7.2110124899e+11,7.8274860993e+11,8.59267358437e+11,8.81165422874e+11,9.83135673978e+11,1.07171380702e+12,1.14089232116e+12
Adjusted net national income per capita (constant 2005 US$),4,4,India,IND,Adjusted net national income per capita (constant 2005 US$),NY.ADJ.NNTY.PC.KD,391.545266738,408.370345886,428.193217524,445.836949952,471.512729949,502.007610246,503.906706971,517.795720489,522.710555322,559.12591668,585.926596394,630.153526491,673.570680095,728.38672936,736.101767348,809.71018069,870.615189337,914.582523893
Adjusted savings: consumption of fixed capital (% of GNI),10,10,India,IND,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,10.2703968101,10.4700062069,10.5360591664,10.5273352118,10.1786095568,9.35339373092,9.72053411586,10.0859014961,10.3127615193,10.2565583834,9.93501941254,9.92023503397,9.82552572671,9.75771651533,10.1494267193,10.0689311743,9.88597653554,9.86277869876
Adjusted savings: education expenditure (% of GNI),12,12,India,IND,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.1,3.1,2.9,2.9,3.6,4.3,4.12787510829,3.89008585269,3.65229659709,3.41450734149,3.16506781881,3.1,3.1,3.1,3.1,3.1,3.1,3.1
Adjusted savings: gross savings (% of GNI),16,16,India,IND,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,24.40908468,26.37132478,23.03122297,25.96274623,23.65687226,26.94194848,25.26238842,27.07286002,26.59318227,28.46279646,32.97973653,33.90148857,35.23726113,36.75828324,34.05550755,34.10406736,34.52266916,35.17990324
"Adolescent fertility rate (births per 1,000 women ages 15-19)",24,24,India,IND,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,87.1352,83.7028,80.2704,76.838,73.5114,70.1848,66.8582,63.5316,60.205,57.0818,53.9586,50.8354,47.7122,44.589,41.759,38.929,36.099,33.269
Age dependency ratio (% of working-age population),25,25,India,IND,Age dependency ratio (% of working-age population),SP.POP.DPND,69.4765826868,68.623260785,67.9363117137,67.1346795083,66.2410375622,65.2900491043,64.3095053459,63.5752643439,62.7715663755,61.9219028525,61.0476315593,60.1614273926,59.4427997206,58.6954024633,57.9227768285,57.1148187773,56.268532042,55.5326692021
"Age dependency ratio, old (% of working-age population)",26,26,India,IND,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,6.82619624262,6.8590201763,6.95903955954,7.04325875407,7.11533076384,7.17993627981,7.24048217126,7.34632251629,7.44267412256,7.52744953994,7.59728198123,7.65256768657,7.74055412335,7.8147943524,7.87897000644,7.93618768866,7.99047533973,8.09257674203
"Age dependency ratio, young (% of working-age population)",27,27,India,IND,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,62.6503864442,61.7642406087,60.9772721542,60.0914207542,59.1257067984,58.1101128245,57.0690231746,56.2289418276,55.328892253,54.3944533126,53.450349578,52.508859706,51.7022455972,50.8806081109,50.0438068221,49.1786310887,48.2780567023,47.4400924601
Agricultural land (% of land area),28,28,India,IND,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.9752488068,60.8588754839,60.7391387701,60.8709836909,60.834995409,60.8844372543,60.8689656564,60.7048321836,60.7293849367,60.6247834817,60.6671622062,60.5834137744,60.509419176,60.4132261981,60.4593046526,60.5639061076,60.3974182612,60.4300431523
