,AAAIndicator Name,Unnamed: 0,Country Name,Country Code,AAAIndicator Name.1,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
2,"Adolescent fertility rate (births per 1,000 women ages 15-19)",27,"Egypt, Arab Rep.",EGY,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,70.7964,66.2676,61.7388,57.21,56.2648,55.3196,54.3744,53.4292,52.484,51.73,50.976,50.222,49.468,48.714,49.9,51.086,52.272,53.458
3,Age dependency ratio (% of working-age population),28,"Egypt, Arab Rep.",EGY,Age dependency ratio (% of working-age population),SP.POP.DPND,81.4268757674,80.0646437978,78.194651473,76.4453678237,74.6870200737,72.7644381542,70.6738508215,68.7574748285,66.8019541142,64.8931891808,63.1380301272,61.5896379418,60.5999362395,59.6058315063,58.7719965198,58.3235934019,58.3646962347,58.5966216016
4,"Age dependency ratio, old (% of working-age population)",29,"Egypt, Arab Rep.",EGY,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,8.84813025744,8.85386882785,8.86061513771,8.84408258543,8.80461706537,8.74116087526,8.65556772668,8.58078609767,8.48817447665,8.3807200959,8.25953676964,8.12911799107,8.03557812003,7.92552677878,7.82655311988,7.7741786037,7.78506704253,7.89127070259
5,"Age dependency ratio, young (% of working-age population)",30,"Egypt, Arab Rep.",EGY,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,72.57874551,71.21077497,69.3340363353,67.6012852383,65.8824030083,64.0232772789,62.0182830949,60.1766887308,58.3137796376,56.5124690849,54.8784933575,53.4605199508,52.5643581195,51.6803047275,50.9454433999,50.5494147981,50.5796291921,50.705350899
6,Agricultural land (% of land area),31,"Egypt, Arab Rep.",EGY,Agricultural land (% of land area),AG.LND.AGRI.ZS,3.26083680747,3.29800592697,3.19097895424,3.25975187101,3.27451906173,3.49892008639,3.30604249334,3.35325732081,3.43965040936,3.42458184741,3.49389723241,3.53910291828,3.54914862625,3.55417148024,3.55818976342,3.7058616706,3.68777939625,3.6365462856
7,Agricultural land (sq. km),32,"Egypt, Arab Rep.",EGY,Agricultural land (sq. km),AG.LND.AGRI.K2,32460.0,32830.0,31764.6,32449.2,32596.2,34830.0,32910.0,33380.0,34240.0,34090.0,34780.0,35230.0,35330.0,35380.0,35420.0,36890.0,36710.0,36200.0
12,"Birth rate, crude (per 1,000 people)",68,"Egypt, Arab Rep.",EGY,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,27.208,26.581,26.088,25.685,25.334,25.026,24.764,24.563,24.435,24.378,24.374,24.401,24.427,24.427,24.377,24.263,24.078,23.823
22,"Death rate, crude (per 1,000 people)",131,"Egypt, Arab Rep.",EGY,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.621,7.441,7.28,7.144,7.038,6.961,6.909,6.879,6.863,6.854,6.844,6.83,6.808,6.777,6.74,6.695,6.645,6.592
26,Electric power consumption (kWh per capita),155,"Egypt, Arab Rep.",EGY,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,724.839829949,744.139536766,803.514342157,843.940487533,889.042253869,947.508180882,984.065171379,1036.94047459,1087.72250969,1155.81652468,1199.58854324,1271.75487374,1343.76874198,1436.07409837,1482.85326038,1550.4874709,1589.87591008,1700.74023095
30,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",179,"Egypt, Arab Rep.",EGY,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,69.0999984741,67.8000030518,68.5999984741,68.5,68.1999969482,70.1999969482,69.0999984741,67.6999969482,67.3000030518,68.4000015259,69.4000015259,70.3000030518,68.5,69.3000030518,70.0,70.1999969482,70.5,69.0999984741
31,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",181,"Egypt, Arab Rep.",EGY,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,42.5,41.2999992371,41.9000015259,41.7999992371,41.4000015259,42.7000007629,42.0,41.2999992371,40.4000015259,41.2000007629,41.9000015259,42.4000015259,41.7999992371,43.5999984741,43.9000015259,43.7999992371,44.2000007629,42.9000015259
37,"Fertility rate, total (births per woman)",216,"Egypt, Arab Rep.",EGY,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.757,3.659,3.579,3.508,3.44,3.372,3.306,3.242,3.184,3.134,3.091,3.053,3.02,2.987,2.954,2.919,2.883,2.845
43,Forest area (% of land area),235,"Egypt, Arab Rep.",EGY,Forest area (% of land area),AG.LND.FRST.ZS,0.0502285398563,0.051735396052,0.0532422522477,0.0547491084434,0.0562559646391,0.0577628208348,0.0592696770305,0.0608769903059,0.0624843035813,0.0640916168567,0.0656989301321,0.0673062434075,0.0679089858858,0.0685117283641,0.0691144708423,0.0697172133206,0.0703199557989,0.0709226982772
44,Forest area (sq. km),236,"Egypt, Arab Rep.",EGY,Forest area (sq. km),AG.LND.FRST.K2,500.0,515.0,530.0,545.0,560.0,575.0,590.0,606.0,622.0,638.0,654.0,670.0,676.0,682.0,688.0,694.0,700.0,706.0
45,Fossil fuel energy consumption (% of total),238,"Egypt, Arab Rep.",EGY,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,93.4048833504,93.8301890126,94.0931982227,94.1710446004,94.4581665887,94.0285029594,93.8959807542,94.2408307481,94.8934218092,95.0022368615,95.3325813526,95.9618370208,96.0387137994,95.9465622934,96.1910429232,96.4328211347,96.310822041,96.4697412031
51,GDP per person employed (constant 1990 PPP $),254,"Egypt, Arab Rep.",EGY,GDP per person employed (constant 1990 PPP $),SL.GDP.PCAP.EM.KD,8849.0,9229.0,9539.0,9979.0,10573.0,10575.0,10915.0,11107.0,11262.0,11054.0,10983.0,10972.0,11709.0,11975.0,12502.0,12757.0,13079.0,13057.0
59,Gross national expenditure (% of GDP),305,"Egypt, Arab Rep.",EGY,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,105.485714286,105.147058824,105.448997384,106.05490786,109.498956159,108.257477243,106.615701264,104.850850293,104.35471097,102.586826349,101.359983508,102.265552469,101.618908859,104.578410311,105.594639866,106.639800422,105.237858445,104.120778937
