,AAAIndicator Name,Unnamed: 0,Country Name,Country Code,AAAIndicator Name.1,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
5,"Adolescent fertility rate (births per 1,000 women ages 15-19)",24,India,IND,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,87.1352,83.7028,80.2704,76.838,73.5114,70.1848,66.8582,63.5316,60.205,57.0818,53.9586,50.8354,47.7122,44.589,41.759,38.929,36.099,33.269
6,Age dependency ratio (% of working-age population),25,India,IND,Age dependency ratio (% of working-age population),SP.POP.DPND,69.4765826868,68.623260785,67.9363117137,67.1346795083,66.2410375622,65.2900491043,64.3095053459,63.5752643439,62.7715663755,61.9219028525,61.0476315593,60.1614273926,59.4427997206,58.6954024633,57.9227768285,57.1148187773,56.268532042,55.5326692021
7,"Age dependency ratio, old (% of working-age population)",26,India,IND,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,6.82619624262,6.8590201763,6.95903955954,7.04325875407,7.11533076384,7.17993627981,7.24048217126,7.34632251629,7.44267412256,7.52744953994,7.59728198123,7.65256768657,7.74055412335,7.8147943524,7.87897000644,7.93618768866,7.99047533973,8.09257674203
8,"Age dependency ratio, young (% of working-age population)",27,India,IND,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,62.6503864442,61.7642406087,60.9772721542,60.0914207542,59.1257067984,58.1101128245,57.0690231746,56.2289418276,55.328892253,54.3944533126,53.450349578,52.508859706,51.7022455972,50.8806081109,50.0438068221,49.1786310887,48.2780567023,47.4400924601
9,Agricultural land (% of land area),28,India,IND,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.9752488068,60.8588754839,60.7391387701,60.8709836909,60.834995409,60.8844372543,60.8689656564,60.7048321836,60.7293849367,60.6247834817,60.6671622062,60.5834137744,60.509419176,60.4132261981,60.4593046526,60.5639061076,60.3974182612,60.4300431523
10,Agricultural land (sq. km),29,India,IND,Agricultural land (sq. km),AG.LND.AGRI.K2,1812910.0,1809450.0,1805890.0,1809810.0,1808740.0,1810210.0,1809750.0,1804870.0,1805600.0,1802490.0,1803750.0,1801260.0,1799060.0,1796200.0,1797570.0,1800680.0,1795730.0,1796700.0
15,Arable land (% of land area),45,India,IND,Arable land (% of land area),AG.LND.ARBL.ZS,54.6635095638,54.4569973665,54.1590009384,54.3527322505,54.2881551465,54.1421839842,54.1270487254,53.9235635799,53.9595518618,53.7466492219,53.70696121,53.6272488472,53.3642316838,53.1489746703,53.139893515,53.1160134401,52.8082631786,52.7981730061
17,Arable land (hectares),47,India,IND,Arable land (hectares),AG.LND.ARBL.HA,162525000.0,161911000.0,161025000.0,161601000.0,161409000.0,160975000.0,160930000.0,160325000.0,160432000.0,159799000.0,159681000.0,159444000.0,158662000.0,158022000.0,157995000.0,157924000.0,157009000.0,156979000.0
20,"Birth rate, crude (per 1,000 people)",65,India,IND,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,28.43,27.901,27.402,26.93,26.481,26.049,25.622,25.186,24.73,24.253,23.757,23.259,22.779,22.335,21.937,21.589,21.281,20.999
37,"Death rate, crude (per 1,000 people)",127,India,IND,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.882,9.706,9.532,9.361,9.198,9.043,8.898,8.76,8.63,8.506,8.389,8.283,8.19,8.111,8.049,8.002,7.969,7.949
41,Electric power consumption (kWh per capita),150,India,IND,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,342.316527164,359.900097805,360.946036487,376.64512214,387.033525082,393.206947651,394.802537088,394.953507231,411.822952321,431.707987958,452.896173289,469.368748482,510.703014088,543.356622439,562.935282515,601.550583453,643.879754314,698.433433044
46,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",174,India,IND,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,81.1999969482,80.6999969482,80.5,80.0,80.0999984741,79.4000015259,79.1999969482,79.6999969482,79.5,79.9000015259,80.0,79.9000015259,79.4000015259,79.3000030518,78.4000015259,78.0999984741,78.1999969482,77.6999969482
47,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",176,India,IND,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,58.5999984741,58.0999984741,57.9000015259,57.5,57.2999992371,56.7999992371,56.5999984741,57.0999984741,57.2000007629,57.7999992371,58.0999984741,58.0999984741,57.0999984741,56.4000015259,55.0999984741,54.2000007629,53.5,52.7999992371
53,Energy use (kg of oil equivalent per capita),183,India,IND,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,385.842090196,399.481951545,404.597162448,412.596519052,414.908275149,430.778159429,433.25794087,432.966162264,438.462354721,441.825692587,459.806731245,471.664466946,490.266429452,511.869378699,528.175443733,573.631312768,586.956979273,602.686672105
56,"Fertility rate, total (births per woman)",212,India,IND,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.549,3.473,3.402,3.334,3.269,3.207,3.145,3.083,3.018,2.952,2.884,2.817,2.753,2.694,2.643,2.6,2.563,2.532
62,Forest area (% of land area),231,India,IND,Forest area (% of land area),AG.LND.FRST.ZS,21.7003958711,21.7491986721,21.7980014732,21.8468042742,21.8956070752,21.9444098763,21.9932126773,22.1492067443,22.3052008112,22.4611948782,22.6171889452,22.7731830122,22.9131673388,23.0531516654,23.193135992,23.3331203186,23.4731046452,23.5331075377
63,Forest area (sq. km),232,India,IND,Forest area (sq. km),AG.LND.FRST.K2,645194.0,646645.0,648096.0,649547.0,650998.0,652449.0,653900.0,658538.0,663176.0,667814.0,672452.0,677090.0,678540.0,679990.0,681440.0,682890.0,684340.0,685790.0
64,Fossil fuel energy consumption (% of total),234,India,IND,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,59.4765489815,61.3069170973,62.1756525881,63.0695095247,63.3156747375,64.6971232351,64.9618225431,64.9698353761,65.6295084788,65.8301469259,67.015634462,67.5193163285,68.4223250838,69.5788296821,70.6156140053,72.6753061218,72.7324387435,72.753099637
73,GDP per person employed (constant 1990 PPP $),250,India,IND,GDP per person employed (constant 1990 PPP $),SL.GDP.PCAP.EM.KD,3888.0,4111.0,4374.0,4496.0,4727.0,4958.0,5063.0,5227.0,5295.0,5606.0,5881.0,6285.0,6720.0,7170.0,7517.0,8018.0,8515.0,8875.0
89,Gross national expenditure (% of GDP),301,India,IND,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,100.296770106,101.159184102,101.139171749,101.216616507,101.633878502,101.878525246,100.890827898,100.861389358,100.963006898,100.684602586,101.754790489,102.744892419,103.158842592,104.014403738,105.066994722,105.377713472,104.367728659,106.47217226
105,"Immunization, measles (% of children ages 12-23 months)",340,India,IND,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,67.0,72.0,66.0,55.0,53.0,56.0,56.0,57.0,56.0,60.0,64.0,68.0,69.0,70.0,72.0,78.0,82.0,84.0
106,Improved sanitation facilities (% of population with access),349,India,IND,Improved sanitation facilities (% of population with access),SH.STA.ACSN,19.8,20.8,21.7,22.7,23.7,24.6,25.6,26.6,27.6,28.6,29.6,30.6,31.6,32.6,33.6,34.6,35.5,36.5
107,"Improved sanitation facilities, rural (% of rural population with access)",350,India,IND,"Improved sanitation facilities, rural (% of rural population with access)",SH.STA.ACSN.RU,8.6,9.6,10.6,11.6,12.6,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5
108,"Improved sanitation facilities, urban (% of urban population with access)",351,India,IND,"Improved sanitation facilities, urban (% of urban population with access)",SH.STA.ACSN.UR,51.1,51.6,52.2,52.8,53.4,53.9,54.5,55.1,55.7,56.2,56.8,57.4,58.0,58.5,59.1,59.7,60.3,60.8
110,"Improved water source, rural (% of rural population with access)",353,India,IND,"Improved water source, rural (% of rural population with access)",SH.H2O.SAFE.RU.ZS,68.9,70.1,71.3,72.5,73.7,74.9,76.1,77.2,78.4,79.6,80.8,82.0,83.2,84.4,85.5,86.7,87.9,89.1
111,"Improved water source, urban (% of urban population with access)",354,India,IND,"Improved water source, urban (% of urban population with access)",SH.H2O.SAFE.UR.ZS,90.3,90.6,90.9,91.3,91.6,92.0,92.3,92.6,93.0,93.3,93.7,94.0,94.3,94.7,95.0,95.4,95.7,96.0
