,AAAIndicator Name,Unnamed: 0,Country Name,Country Code,AAAIndicator Name.1,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
4,"Adolescent fertility rate (births per 1,000 women ages 15-19)",25,Mexico,MEX,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,81.5532,82.4168,83.2804,84.144,82.6598,81.1756,79.6914,78.2072,76.723,75.6132,74.5034,73.3936,72.2838,71.174,70.1332,69.0924,68.0516,67.0108
5,Age dependency ratio (% of working-age population),26,Mexico,MEX,Age dependency ratio (% of working-age population),SP.POP.DPND,70.1132401595,68.963819262,68.028233692,67.2019474317,66.4259211937,65.6280502264,64.7766562914,63.9383436377,63.0927773898,62.2524458032,61.4467994206,60.6869168061,59.6844279089,58.7271226464,57.7892710595,56.8429341611,55.8866124413,54.9556345631
6,"Age dependency ratio, old (% of working-age population)",27,Mexico,MEX,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,7.7449719674,7.81968302307,7.91056151354,8.00555667535,8.09849968899,8.1817745271,8.25317664212,8.31641598076,8.36974337653,8.42418696531,8.49354011904,8.58445273245,8.67883535548,8.79504361225,8.92229703812,9.04651045668,9.16340392503,9.2649086804
7,"Age dependency ratio, young (% of working-age population)",28,Mexico,MEX,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,62.3682681921,61.1441362389,60.1176721784,59.1963907563,58.3274215048,57.4462756993,56.5234796492,55.6219276569,54.7230340133,53.8282588379,52.9532593015,52.1024640736,51.0055925535,49.9320790342,48.8669740213,47.7964237045,46.7232085163,45.6907258827
8,Agricultural land (% of land area),29,Mexico,MEX,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.6258905836,54.6284626662,54.6876205664,54.6876205664,54.6953368142,54.6958512307,54.6979088968,54.8110805319,54.8110805319,54.8110805319,54.8213688624,54.8213688624,54.8213688624,54.8882430104,54.890815093,54.890815093,54.890815093,54.890815093
9,Agricultural land (sq. km),30,Mexico,MEX,Agricultural land (sq. km),AG.LND.AGRI.K2,1061900.0,1061950.0,1063100.0,1063100.0,1063250.0,1063260.0,1063300.0,1065500.0,1065500.0,1065500.0,1065700.0,1065700.0,1065700.0,1067000.0,1067050.0,1067050.0,1067050.0,1067050.0
15,Arable land (% of land area),46,Mexico,MEX,Arable land (% of land area),AG.LND.ARBL.ZS,11.5995781785,11.6052367602,11.6860001543,11.7209804779,11.744643638,11.7893978755,11.7827104607,11.9092569253,11.9262326706,12.1669796034,11.9416651663,11.9838473212,12.0183132282,12.0985622058,12.2755214898,12.2883819028,12.0923892075,11.8197484503
17,Arable land (hectares),48,Mexico,MEX,Arable land (hectares),AG.LND.ARBL.HA,22549000.0,22560000.0,22717000.0,22785000.0,22831000.0,22918000.0,22905000.0,23151000.0,23184000.0,23652000.0,23214000.0,23296000.0,23363000.0,23519000.0,23863000.0,23888000.0,23507000.0,22977000.0
18,"Birth rate, crude (per 1,000 people)",65,Mexico,MEX,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,26.914,26.529,26.106,25.65,25.168,24.665,24.148,23.627,23.112,22.611,22.128,21.666,21.221,20.789,20.365,19.949,19.544,19.15
38,"Death rate, crude (per 1,000 people)",129,Mexico,MEX,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.019,4.926,4.842,4.769,4.708,4.66,4.624,4.597,4.575,4.556,4.538,4.522,4.507,4.495,4.488,4.486,4.488,4.496
39,Electric power consumption (kWh per capita),152,Mexico,MEX,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1363.22043126,1378.34596493,1445.32676743,1514.63620552,1571.84970709,1610.94623823,1717.44403848,1744.64468927,1753.7505838,1719.34437275,1817.73470373,1869.74865835,1877.56002703,1905.7468004,1908.34666917,1863.5351583,1903.98482545,2074.24448868
42,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",164,Mexico,MEX,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,81.0,77.9000015259,79.4000015259,81.3000030518,81.3000030518,81.5,80.5999984741,80.1999969482,79.4000015259,78.8000030518,78.8000030518,78.0,79.0999984741,78.5999984741,78.4000015259,75.3000030518,76.3000030518,75.1999969482
44,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",166,Mexico,MEX,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,57.0,55.2999992371,56.2999992371,58.2999992371,58.4000015259,58.2999992371,58.0999984741,57.5,57.4000015259,56.7999992371,57.7000007629,57.7000007629,58.7999992371,58.7999992371,59.0,57.0,58.0,57.0999984741
45,"Employment to population ratio, 15+, total (%) (national estimate)",167,Mexico,MEX,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,56.7999992371,55.2999992371,56.0999984741,58.0,58.2000007629,58.0,57.7000007629,56.7999992371,56.7999992371,56.2000007629,57.2000007629,56.7999992371,58.0,58.0,58.2999992371,56.4000015259,57.2000007629,56.5
53,Energy use (kg of oil equivalent per capita),176,Mexico,MEX,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1449.35753889,1376.02467838,1382.71892858,1398.88398183,1419.55107349,1448.78003669,1408.55529679,1424.2781697,1412.86939872,1467.2653402,1485.56249358,1537.09637066,1534.15561068,1551.29660696,1572.87849795,1500.42445525,1486.02706672,1525.35230033
58,"Fertility rate, total (births per woman)",204,Mexico,MEX,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.04,2.966,2.896,2.831,2.77,2.712,2.659,2.61,2.565,2.523,2.484,2.448,2.413,2.379,2.346,2.313,2.281,2.248
65,Forest area (% of land area),223,Mexico,MEX,Forest area (% of land area),AG.LND.FRST.ZS,35.4939170246,35.3959721186,35.2980272126,35.2000823066,35.1021374007,35.0041924947,34.9062475887,34.8267187942,34.7471899997,34.6676612053,34.5881324108,34.5086036163,34.4484168832,34.38823015,34.3280434168,34.2678566836,34.2076699504,34.1605493968
66,Forest area (sq. km),224,Mexico,MEX,Forest area (sq. km),AG.LND.FRST.K2,688750.0,685210.0,681670.0,678130.0,674590.0,671050.0,667510.0,665164.0,662818.0,660472.0,658126.0,655780.0,654228.0,652676.0,651124.0,649572.0,648020.0,646468.0
67,Fossil fuel energy consumption (% of total),226,Mexico,MEX,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,88.0378187257,85.9900811958,86.0688392937,86.1971294942,86.7760403278,86.815402195,86.7931345879,87.7398673289,87.9922881762,88.2760195035,88.3021669186,87.9450907977,88.3537915667,88.5213942348,88.5495088601,88.9618812426,89.2657188185,89.1910260316
75,GDP per person employed (constant 1990 PPP $),242,Mexico,MEX,GDP per person employed (constant 1990 PPP $),SL.GDP.PCAP.EM.KD,17841.0,17071.0,17255.0,17421.0,17827.0,18294.0,19108.0,19091.0,18807.0,18931.0,19051.0,19564.0,19869.0,20198.0,19996.0,18966.0,19797.0,20125.0
90,Gross national expenditure (% of GDP),298,Mexico,MEX,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,102.624047338,95.7645822325,97.2669520725,98.8582918495,100.278243733,100.305518201,100.577642439,101.239795565,101.445989734,101.442977283,101.759041513,101.440991735,101.250850896,101.583581342,102.274729384,101.473932507,101.203233068,101.247854478
103,"Immunization, measles (% of children ages 12-23 months)",338,Mexico,MEX,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,90.0,90.0,93.0,91.0,96.0,94.0,96.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,98.0
105,Improved sanitation facilities (% of population with access),347,Mexico,MEX,Improved sanitation facilities (% of population with access),SH.STA.ACSN,69.8,70.7,71.5,72.3,73.1,73.9,74.7,75.5,76.3,77.1,77.8,78.6,79.4,80.1,80.9,81.6,82.3,83.0
106,"Improved sanitation facilities, rural (% of rural population with access)",348,Mexico,MEX,"Improved sanitation facilities, rural (% of rural population with access)",SH.STA.ACSN.RU,41.2,42.8,44.5,46.2,47.8,49.5,51.2,52.8,54.5,56.2,57.8,59.5,61.2,62.8,64.5,66.1,67.8,69.5
