,AAAIndicator Name,Unnamed: 0,Country Name,Country Code,AAAIndicator Name.1,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,"Adolescent fertility rate (births per 1,000 women ages 15-19)",25,Philippines,PHL,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,50.2164,49.8316,49.4468,49.062,50.024,50.986,51.948,52.91,53.872,53.9148,53.9576,54.0004,54.0432,54.086,54.6682,55.2504,55.8326,56.4148
1,Age dependency ratio (% of working-age population),26,Philippines,PHL,Age dependency ratio (% of working-age population),SP.POP.DPND,75.7737610679,74.9683163637,74.2673441029,73.6395739003,73.0219115303,72.346683917,71.6029561627,71.0090740703,70.3733244574,69.7115150671,68.9933325978,68.1295723161,66.9509872978,65.6114979535,64.0272333871,62.3080557127,60.67882909,59.9158542215
2,"Age dependency ratio, old (% of working-age population)",27,Philippines,PHL,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,5.42452886079,5.39507735608,5.42148409696,5.45510488322,5.49021906339,5.51987172754,5.54111173842,5.59821909795,5.64475170489,5.68387105655,5.71958124472,5.75490116534,5.94634995352,6.13189986493,6.30387152061,6.47577430193,6.67479373104,6.76281923336
3,"Age dependency ratio, young (% of working-age population)",28,Philippines,PHL,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,70.3492322071,69.5732390077,68.845860006,68.184469017,67.5316924669,66.8268121895,66.0618444243,65.4108549723,64.7285727525,64.0276440106,63.2737513531,62.3746711508,61.0046373443,59.4795980886,57.7233618664,55.8322814107,54.0040353589,53.1530349882
4,Agricultural land (% of land area),29,Philippines,PHL,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.9420129456,36.9420129456,37.2438541771,38.0152262132,37.8475366402,37.6798470671,37.6764932756,37.5088037026,37.344467921,37.6966160244,38.4679880605,38.0823020425,38.8369051212,39.5412013281,40.2790354496,40.5808766811,40.5808766811,41.1174833149
5,Agricultural land (sq. km),30,Philippines,PHL,Agricultural land (sq. km),AG.LND.AGRI.K2,110150.0,110150.0,111050.0,113350.0,112850.0,112350.0,112340.0,111840.0,111350.0,112400.0,114700.0,113550.0,115800.0,117900.0,120100.0,121000.0,121000.0,122600.0
6,Arable land (% of land area),46,Philippines,PHL,Arable land (% of land area),AG.LND.ARBL.ZS,17.8924774458,17.7247878727,17.5570982996,17.3894087266,17.2217191535,17.0540295804,16.8829862159,16.7152966429,16.5509608613,16.6683435624,17.1714122816,16.7857262635,17.2887949827,17.74155683,18.2781634638,18.4458530369,17.7750947446,18.2781634638
7,Arable land (hectares),48,Philippines,PHL,Arable land (hectares),AG.LND.ARBL.HA,5335000.0,5285000.0,5235000.0,5185000.0,5135000.0,5085000.0,5034000.0,4984000.0,4935000.0,4970000.0,5120000.0,5005000.0,5155000.0,5290000.0,5450000.0,5500000.0,5300000.0,5450000.0
10,"Birth rate, crude (per 1,000 people)",65,Philippines,PHL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,31.315,30.959,30.644,30.365,30.108,29.858,29.587,29.261,28.864,28.392,27.855,27.28,26.705,26.172,25.708,25.326,25.025,24.79
11,"Death rate, crude (per 1,000 people)",123,Philippines,PHL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.371,6.319,6.27,6.224,6.184,6.149,6.119,6.093,6.071,6.053,6.038,6.025,6.014,6.006,6.0,5.996,5.995,5.998
