,AAAIndicator Name,Unnamed: 0,Country Name,Country Code,AAAIndicator Name.1,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,Agricultural land (sq. km),3,Russian Federation,RUS,Agricultural land (sq. km),AG.LND.AGRI.K2,2177110.0,2164000.0,2161110.0,2179890.0,2172870.0,2167900.0,2171620.0,2168610.0,2166510.0,2162770.0,2159800.0,2156800.0,2154880.0,2154630.0,2154940.0,2154500.0,2139520.0,2146500.0
1,Agricultural land (% of land area),4,Russian Federation,RUS,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.2901907232,13.212539946,13.195233106,13.3093386818,13.2643318906,13.2281702241,13.2566688684,13.2390216624,13.2257977869,13.2029341346,13.1846021331,13.1661598924,13.1573709193,13.1558444572,13.158436258,13.1557495419,13.0642790716,13.1069001586
2,Arable land (hectares),5,Russian Federation,RUS,Arable land (hectares),AG.LND.ARBL.HA,128422000.0,127500000.0,126024000.0,127466000.0,126132000.0,124975000.0,124374000.0,123860000.0,123465000.0,122559000.0,122146000.0,121781000.0,121574000.0,121574000.0,121649000.0,121750000.0,119000000.0,120000000.0
4,Arable land (% of land area),7,Russian Federation,RUS,Arable land (% of land area),AG.LND.ARBL.ZS,7.83953439678,7.78465269459,7.69473121195,7.7824484924,7.69975520868,7.62576951779,7.59241917938,7.56145744559,7.53711325479,7.48178680396,7.45646083963,7.43410662954,7.42312431386,7.42312431386,7.4280982874,7.43426552204,7.26634576693,7.32740749606
6,Forest area (sq. km),11,Russian Federation,RUS,Forest area (sq. km),AG.LND.FRST.K2,8090773.0,8091092.0,8091411.0,8091729.0,8092048.0,8092366.0,8092685.0,8091728.0,8090771.0,8089814.0,8088857.0,8087900.0,8088500.0,8089100.0,8089700.0,8090300.0,8090900.0,8091500.0
7,Forest area (% of land area),12,Russian Federation,RUS,Forest area (% of land area),AG.LND.FRST.ZS,49.390210685,49.4010518745,49.4042640231,49.4041279348,49.3980807384,49.3782924744,49.4018499097,49.3987218903,49.3913719237,49.3854091758,49.3788134346,49.3724891477,49.4609830172,49.5384735623,49.6185998912,49.6960945529,49.7735892145,49.7710844624
8,Land area (sq. km),15,Russian Federation,RUS,Land area (sq. km),AG.LND.TOTL.K2,16381330.0,16378380.0,16377960.0,16378650.0,16381300.0,16388510.0,16381340.0,16380440.0,16380940.0,16380980.0,16381230.0,16381390.0,16377740.0,16377740.0,16376870.0,16376870.0,16376870.0,16376870.0
10,Surface area (sq. km),21,Russian Federation,RUS,Surface area (sq. km),AG.SRF.TOTL.K2,17098240.0,17098240.0,17098240.0,17098240.0,17098240.0,17098240.0,17098240.0,17098240.0,17098240.0,17098240.0,17098240.0,17098240.0,17098240.0,17098240.0,17098240.0,17098240.0,17098250.0,17098250.0
18,Fossil fuel energy consumption (% of total),368,Russian Federation,RUS,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,92.5741455911,92.3012696501,92.3228834587,92.0715491374,92.1153453096,91.3093313292,91.1263672384,90.8858354384,90.7524893724,90.9155491576,90.690253079,90.6883564009,90.6212479329,90.5497630727,90.9477179041,90.1612643893,90.7336471078,91.1130974851
20,Electric power consumption (kWh per capita),371,Russian Federation,RUS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,5190.72915543,5101.55549298,5016.44701208,4935.62170682,4848.03037288,4998.8387005,5198.41676773,5274.37772118,5304.43172337,5478.14413,5633.85574609,5770.11233595,6098.5381231,6286.05053624,6399.68446645,6095.38057485,6409.89521773,6485.76084471
21,Energy use (kg of oil equivalent per capita),372,Russian Federation,RUS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,4428.88942671,4290.77161179,4252.72847857,4069.74758197,3981.49166254,4136.73913078,4224.27812544,4288.47090657,4288.17410667,4461.3239135,4493.68566945,4540.9582915,4688.3957492,4709.85096834,4823.25468931,4530.68204298,4925.08097109,5165.78256226
32,Population density (people per sq. km of land area),414,Russian Federation,RUS,Population density (people per sq. km of land area),EN.POP.DNST,9.05518660573,9.05924309974,9.04630625548,9.03098283436,9.01458931831,8.9827807409,8.94899666328,8.91160939511,8.87043393114,8.83025661468,8.79464203848,8.76107113011,8.73438752844,8.71946239225,8.71609471163,8.71871987749,8.72263436176,8.72943779855
33,Population in largest city,416,Russian Federation,RUS,Population in largest city,EN.URB.LCTY,9110941.0,9200994.0,9334368.0,9512887.0,9682476.0,9842072.0,10004523.0,10169198.0,10336816.0,10479960.0,10615013.0,10751428.0,10889788.0,11029929.0,11172069.0,11315643.0,11461264.0,11608759.0
34,Population in the largest city (% of urban population),417,Russian Federation,RUS,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,8.37071660533,8.45165054753,8.58722940737,8.76641719572,8.9379663718,9.11407226262,9.30405987432,9.49792121087,9.69965470322,9.87438695417,10.0358301862,10.1974018328,10.3561513651,10.5009513466,10.6344431323,10.7614312288,10.8883750848,11.0131766491
35,Population in urban agglomerations of more than 1 million,418,Russian Federation,RUS,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,25784327.0,25818916.0,25903206.0,26039202.0,26162462.0,26271966.0,26391889.0,26514449.0,26640187.0,26809833.0,26997283.0,27186290.0,27377651.0,27571131.0,27767028.0,27964546.0,28164535.0,28366738.0
36,Population in urban agglomerations of more than 1 million (% of total population),419,Russian Federation,RUS,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,17.3823798673,17.4010376873,17.4832604327,17.6041293684,17.7167599377,17.846058149,18.0030756111,18.1635569712,18.3338462049,18.5345012488,18.7393871468,18.9427046988,19.1385818484,19.3068267988,19.4525506971,19.5850257515,19.7162363573,19.8423095752
42,Internet users (per 100 people),625,Russian Federation,RUS,Internet users (per 100 people),IT.NET.USER.P2,0.0538174927194,0.148151042331,0.269752929717,0.472963762962,0.812744450672,1.01898461403,1.97723010898,2.94436778665,4.12827181797,8.29886061554,12.8593889008,15.2266731977,18.0232774617,24.66,26.83,29.0,43.0,49.0
47,Gross national expenditure (% of GDP),678,Russian Federation,RUS,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,95.4369545641,96.6048302415,95.7764717601,97.7972251868,93.3297839976,82.953226074,79.9728975033,87.3238964175,89.209011038,88.6283054563,87.7460702877,86.3071165605,87.2724509794,91.3780017763,90.7633453738,92.5588586195,91.9243839173,91.4655410384
