AAAIndicator Name,Unnamed: 0,Country Name,Country Code,AAAIndicator Name,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Adjusted net national income (constant 2005 US$),4,China,CHN,Adjusted net national income (constant 2005 US$),NY.ADJ.NNTY.KD,7.46485136633e+11,8.19888549556e+11,8.92749064276e+11,9.7579946283e+11,1.03908474124e+12,1.10419518043e+12,1.17766161728e+12,1.2751492364e+12,1.40750667667e+12,1.55021596543e+12,1.67770856873e+12,1.83929910889e+12,2.02416056562e+12,2.26716822288e+12,2.34515622793e+12,2.77061490787e+12,2.87315821733e+12,3.04425944437e+12
Adjusted net national income per capita (constant 2005 US$),7,China,CHN,Adjusted net national income per capita (constant 2005 US$),NY.ADJ.NNTY.PC.KD,626.332618721,680.487319683,733.234006223,793.284525602,836.665961775,881.427580793,932.694159708,1002.59404521,1099.27106894,1203.21015634,1294.45330612,1410.80838592,1543.9585709,1720.30808673,1770.39019815,2081.19744292,2147.82647694,2264.85492056
"Adjusted net savings, excluding particulate emission damage (% of GNI)",9,China,CHN,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,28.5955091207,29.1259948803,26.5858589807,27.705641587,26.6786255848,24.5905938744,21.4121725637,22.3260938412,25.047468183,27.6249384744,27.9621115064,28.4357737956,30.5710891597,29.8365594375,28.5257564501,33.0587344428,29.8761676207,26.5124433141
Adjusted savings: carbon dioxide damage (% of GNI),11,China,CHN,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,3.117762487,2.72417210438,2.48505476393,2.29491617731,2.11181219173,2.0315851694,1.9479399443,1.87192470871,1.84846984016,2.06189831369,2.12084672849,2.08351503094,1.98753458549,1.6845436939,1.38405680278,1.39927301183,1.2903859365,1.17790470118
Adjusted savings: consumption of fixed capital (% of GNI),13,China,CHN,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,10.779954038,11.0743346753,11.518099434,11.806361501,12.5820956877,12.8920437719,13.1355833633,13.4777807234,13.5169891359,13.7268222366,14.1039928019,14.7191334944,15.2304292172,15.6244820665,16.2961658089,16.49763252,16.8427257681,17.5909856256
Adjusted savings: education expenditure (% of GNI),15,China,CHN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.8,1.7,1.7,1.73333333333,1.76666666667,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
Adjusted savings: gross savings (% of GNI),19,China,CHN,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,42.88245606,43.24491448,41.03715191,41.82062717,40.58161623,38.86544207,36.67407529,37.49467594,40.01195424,43.21716088,45.73372373,47.06296185,50.17478438,50.14588842,51.50881412,52.0087976,50.82230251,49.09749046
Adjusted savings: net national savings (% of GNI),25,China,CHN,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,32.1024906143,32.1706459358,29.5189959257,30.0142044882,27.999584413,25.9732374427,23.538670578,24.0167930617,26.4949668826,29.4904736102,31.6298410625,32.3438945323,34.9442727618,34.5215051954,35.2126634913,35.5112213652,33.9794952346,31.5064347671
"Adolescent fertility rate (births per 1,000 women ages 15-19)",27,China,CHN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,14.2108,12.7102,11.2096,9.709,9.3968,9.0846,8.7724,8.4602,8.148,8.0894,8.0308,7.9722,7.9136,7.855,7.7882,7.7214,7.6546,7.5878
Age dependency ratio (% of working-age population),28,China,CHN,Age dependency ratio (% of working-age population),SP.POP.DPND,50.9937698605,50.7318194948,49.7274200361,49.1446511373,48.6440797244,47.7904082554,46.4468891056,44.9985831443,43.2717208128,41.3970156402,39.6208789222,38.0861202095,37.049921074,36.079787671,35.2858329819,34.7564034411,34.5187587121,34.4933116051
"Age dependency ratio, old (% of working-age population)",29,China,CHN,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,8.65281622495,8.81884274012,9.01912218801,9.22312182986,9.42042787209,9.59527988344,9.73978210672,9.9030813897,10.0369359845,10.1488234758,10.2485403969,10.3458694334,10.4601895539,10.5741270968,10.7053292104,10.873455789,11.0924442659,11.3598818626
"Age dependency ratio, young (% of working-age population)",30,China,CHN,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,42.3409536355,41.9129767547,40.7082978481,39.9215293074,39.2236518523,38.195128372,36.7071069989,35.0955017546,33.2347848283,31.2481921644,29.3723385253,27.7402507762,26.5897315202,25.5056605742,24.5805037715,23.882947652,23.4263144461,23.1334297425
Agricultural land (% of land area),31,China,CHN,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.6901445956,55.6902039147,55.6944173715,55.7435214093,55.780802132,55.7222181391,55.6019138878,55.3795417237,55.2323417623,54.9767049909,55.0086611269,55.1151817857,54.76367948,54.8100176873,54.8079938725,54.8084187712,54.8080992215,54.8084187712
Agricultural land (sq. km),32,China,CHN,Agricultural land (sq. km),AG.LND.AGRI.K2,5228330.0,5228330.0,5228720.0,5233330.0,5236830.0,5231330.0,5220030.0,5199150.0,5185330.0,5161330.0,5164330.0,5174330.0,5141330.0,5145680.0,5145490.0,5145530.0,5145500.0,5145530.0
Agriculture value added per worker (constant 2005 US$),37,China,CHN,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,359.453799823,375.520307649,393.060298537,405.364309072,418.337761414,428.978664099,438.121403853,449.119033128,460.743665587,471.540173861,500.424867399,526.228814579,552.214129347,571.665456108,602.123389724,627.730101543,656.650371565,687.091148458
"Agriculture, value added (% of GDP)",38,China,CHN,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,19.5449405278,19.6630775825,19.3899036359,17.9588188268,17.2212097258,16.130913639,14.7491939469,14.0574442461,13.3787871275,12.4251087031,13.005555196,11.7288825245,10.7109088353,10.3660406672,10.3383817672,9.88168823699,9.62443415676,9.53337319919
"Agriculture, value added (constant 2005 US$)",40,China,CHN,"Agriculture, value added (constant 2005 US$)",NV.AGR.TOTL.KD,1.78458027998e+11,1.87212269696e+11,1.96689338689e+11,2.03435726787e+11,2.10423057316e+11,2.16205675685e+11,2.21185152614e+11,2.27048085127e+11,2.33151960072e+11,2.38693636009e+11,2.53230496075e+11,2.66080759117e+11,2.78770393419e+11,2.88568718927e+11,3.03426835537e+11,3.15554272475e+11,3.28966733195e+11,3.42700452116e+11
