AAAIndicator Name,Unnamed: 0,Country Name,Country Code,AAAIndicator Name,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Agricultural land (sq. km),3,Russian Federation,RUS,Agricultural land (sq. km),AG.LND.AGRI.K2,2177110.0,2164000.0,2161110.0,2179890.0,2172870.0,2167900.0,2171620.0,2168610.0,2166510.0,2162770.0,2159800.0,2156800.0,2154880.0,2154630.0,2154940.0,2154500.0,2139520.0,2146500.0
Agricultural land (% of land area),4,Russian Federation,RUS,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.2901907232,13.212539946,13.195233106,13.3093386818,13.2643318906,13.2281702241,13.2566688684,13.2390216624,13.2257977869,13.2029341346,13.1846021331,13.1661598924,13.1573709193,13.1558444572,13.158436258,13.1557495419,13.0642790716,13.1069001586
Arable land (hectares),5,Russian Federation,RUS,Arable land (hectares),AG.LND.ARBL.HA,128422000.0,127500000.0,126024000.0,127466000.0,126132000.0,124975000.0,124374000.0,123860000.0,123465000.0,122559000.0,122146000.0,121781000.0,121574000.0,121574000.0,121649000.0,121750000.0,119000000.0,120000000.0
Arable land (hectares per person),6,Russian Federation,RUS,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.865750728077,0.859304978228,0.85059371136,0.861749893133,0.854143759278,0.8489319441,0.848410102838,0.848495160676,0.849689351536,0.847289850164,0.847841311449,0.848538554149,0.849873478786,0.851328210379,0.852227807655,0.852678561361,0.833044865297,0.839390538675
Arable land (% of land area),7,Russian Federation,RUS,Arable land (% of land area),AG.LND.ARBL.ZS,7.83953439678,7.78465269459,7.69473121195,7.7824484924,7.69975520868,7.62576951779,7.59241917938,7.56145744559,7.53711325479,7.48178680396,7.45646083963,7.43410662954,7.42312431386,7.42312431386,7.4280982874,7.43426552204,7.26634576693,7.32740749606
Permanent cropland (% of land area),9,Russian Federation,RUS,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.120991396913,0.116006589174,0.119001389672,0.117103668495,0.111529609982,0.112578873857,0.113788005133,0.113427966526,0.112020433504,0.110738185383,0.110492313459,0.109880785452,0.109722098409,0.109538922953,0.109483680337,0.103804939528,0.100751853071,0.100751853071
Forest area (sq. km),11,Russian Federation,RUS,Forest area (sq. km),AG.LND.FRST.K2,8090773.0,8091092.0,8091411.0,8091729.0,8092048.0,8092366.0,8092685.0,8091728.0,8090771.0,8089814.0,8088857.0,8087900.0,8088500.0,8089100.0,8089700.0,8090300.0,8090900.0,8091500.0
Forest area (% of land area),12,Russian Federation,RUS,Forest area (% of land area),AG.LND.FRST.ZS,49.390210685,49.4010518745,49.4042640231,49.4041279348,49.3980807384,49.3782924744,49.4018499097,49.3987218903,49.3913719237,49.3854091758,49.3788134346,49.3724891477,49.4609830172,49.5384735623,49.6185998912,49.6960945529,49.7735892145,49.7710844624
Land area (sq. km),15,Russian Federation,RUS,Land area (sq. km),AG.LND.TOTL.K2,16381330.0,16378380.0,16377960.0,16378650.0,16381300.0,16388510.0,16381340.0,16380440.0,16380940.0,16380980.0,16381230.0,16381390.0,16377740.0,16377740.0,16376870.0,16376870.0,16376870.0,16376870.0
Livestock production index (2004-2006 = 100),20,Russian Federation,RUS,Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,137.71,122.57,113.0,105.61,102.3,95.96,96.98,98.01,101.29,103.02,101.15,98.4,100.45,105.1,109.37,112.62,114.99,116.67
Surface area (sq. km),21,Russian Federation,RUS,Surface area (sq. km),AG.SRF.TOTL.K2,17098240.0,17098240.0,17098240.0,17098240.0,17098240.0,17098240.0,17098240.0,17098240.0,17098240.0,17098240.0,17098240.0,17098240.0,17098240.0,17098240.0,17098240.0,17098240.0,17098250.0,17098250.0
"Net financial flows, IMF concessional (NFL, current US$)",259,Russian Federation,RUS,"Net financial flows, IMF concessional (NFL, current US$)",DT.NFL.IMFC.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
