,Unnamed: 0,Country Name,Country Code,AAAIndicator Name,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,3,China,CHN,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,14.0711576746,9.83320488531,8.88663645312,9.30277071996,6.48547993904,6.26613370436,6.65339227717,8.27806711928,10.3797607755,10.1391553675,8.22418334925,9.6316215563,10.0506467836,12.0053547821,3.43988612164,18.1420186369,3.70110292752,5.95516202377
1,4,China,CHN,Adjusted net national income (constant 2005 US$),NY.ADJ.NNTY.KD,7.46485136633e+11,8.19888549556e+11,8.92749064276e+11,9.7579946283e+11,1.03908474124e+12,1.10419518043e+12,1.17766161728e+12,1.2751492364e+12,1.40750667667e+12,1.55021596543e+12,1.67770856873e+12,1.83929910889e+12,2.02416056562e+12,2.26716822288e+12,2.34515622793e+12,2.77061490787e+12,2.87315821733e+12,3.04425944437e+12
2,5,China,CHN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,4.88438758581e+11,6.25940688219e+11,7.32463021883e+11,8.18784712232e+11,8.71880862545e+11,9.24019460286e+11,1.01064254351e+12,1.11484166217e+12,1.23113969441e+12,1.38832646281e+12,1.59865459747e+12,1.83929910889e+12,2.19562176601e+12,2.809900789e+12,3.51368713391e+12,4.07350003273e+12,4.72333412806e+12,5.6996171639e+12
3,6,China,CHN,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,12.789115146,8.64631656464,7.7513107172,8.18981646654,5.46858469728,5.3499988123,5.8163120864,7.49440583231,9.64268880215,9.45527362047,7.58330947451,8.9887429115,9.43786458232,11.4219072426,2.91122920415,17.5558611371,3.20147587345,5.44869172997
4,7,China,CHN,Adjusted net national income per capita (constant 2005 US$),NY.ADJ.NNTY.PC.KD,626.332618721,680.487319683,733.234006223,793.284525602,836.665961775,881.427580793,932.694159708,1002.59404521,1099.27106894,1203.21015634,1294.45330612,1410.80838592,1543.9585709,1720.30808673,1770.39019815,2081.19744292,2147.82647694,2264.85492056
5,8,China,CHN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,409.820787761,519.515367591,601.587632444,665.638040145,702.03421479,737.601695718,800.41701627,876.551214509,961.527408945,1077.55857095,1233.45840131,1410.80838592,1674.74315114,2132.12897104,2652.5300051,3059.88314283,3530.92358036,4240.37642483
6,9,China,CHN,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,28.5955091207,29.1259948803,26.5858589807,27.705641587,26.6786255848,24.5905938744,21.4121725637,22.3260938412,25.047468183,27.6249384744,27.9621115064,28.4357737956,30.5710891597,29.8365594375,28.5257564501,33.0587344428,29.8761676207,26.5124433141
7,10,China,CHN,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,1.60485146063e+11,2.09782016945e+11,2.25556554461e+11,2.6241564663e+11,2.69088621236e+11,2.64343966032e+11,2.54931185326e+11,2.93157240401e+11,3.62429350367e+11,4.52966116165e+11,5.41517047644e+11,6.40512961169e+11,8.32952123682e+11,1.05356770127e+12,1.30847644836e+12,1.6697603121e+12,1.79663022842e+12,1.96776945024e+12
8,11,China,CHN,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,3.117762487,2.72417210438,2.48505476393,2.29491617731,2.11181219173,2.0315851694,1.9479399443,1.87192470871,1.84846984016,2.06189831369,2.12084672849,2.08351503094,1.98753458549,1.6845436939,1.38405680278,1.39927301183,1.2903859365,1.17790470118
9,12,China,CHN,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,17497662517.7,19621040273.8,21083403421.6,21736436268.4,21300371309.4,21839134254.0,23191978182.9,24579681772.7,26746804046.2,33808946649.6,41072529828.7,46930967720.4,54153162330.2,59483427738.3,63486685543.3,70675740627.1,77598519638.8,87424793664.6
10,13,China,CHN,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,10.779954038,11.0743346753,11.518099434,11.806361501,12.5820956877,12.8920437719,13.1355833633,13.4777807234,13.5169891359,13.7268222366,14.1039928019,14.7191334944,15.2304292172,15.6244820665,16.2961658089,16.49763252,16.8427257681,17.5909856256
11,14,China,CHN,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,60499797049.6,79763670702.4,97720477046.4,1.11824661338e+11,1.26906791735e+11,1.38586892139e+11,1.56390941965e+11,1.76972695345e+11,1.95586777699e+11,2.25078704213e+11,2.73139335e+11,3.31547010049e+11,4.14974366623e+11,5.51720773594e+11,7.47505125654e+11,8.3327727119e+11,1.01285247252e+12,1.30561350773e+12
12,15,China,CHN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.8,1.7,1.7,1.73333333333,1.76666666667,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
13,16,China,CHN,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,10102050000.0,12244369000.0,14422936000.0,16417370666.7,17819130000.0,19349640000.0,21430620000.0,23635260000.0,26045460000.0,29514600000.0,34858980000.0,40544820000.0,49043520000.0,63560340000.0,82566000000.0,90916020000.0,1.0824462e+11,1.3359708e+11
14,17,China,CHN,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,1.65315821071,1.49237695144,1.68099780289,1.41885371054,0.720758499579,1.02743148815,1.85533301776,1.50422687538,1.2803366641,1.43701374313,3.10869658385,3.1460838878,3.21785873715,3.22169662336,5.2519481203,2.01591817062,2.84753214039,3.42932365258
15,18,China,CHN,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,9277937168.08,10748949459.1,14261719839.6,13438758050.6,7269786454.3,11044683011.3,22089409376.1,19751551832.5,18526087428.5,23562714346.1,60203328912.5,70865224964.3,87675066295.9,1.13762295977e+11,2.40906860278e+11,1.01821809288e+11,1.71238908041e+11,2.54526459088e+11
16,19,China,CHN,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,42.88245606,43.24491448,41.03715191,41.82062717,40.58161623,38.86544207,36.67407529,37.49467594,40.01195424,43.21716088,45.73372373,47.06296185,50.17478438,50.14588842,51.50881412,52.0087976,50.82230251,49.09749046
17,20,China,CHN,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.130126224544,0.127982433706,0.0764848438197,0.0535914919533,0.0470925470883,0.0106787803625,0.0380282889413,0.0414465974317,0.0537967429406,0.0848104951436,0.173068938794,0.418152497948,0.887584823933,1.50533372215,1.7522232874,0.762025864595,1.69714638363,2.12801108173
18,21,China,CHN,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,730300903.697,921802437.536,648903533.753,507595031.526,474989557.696,114794753.141,452761005.307,544222836.896,778422731.328,1390637688.87,3351670375.58,9418843201.03,24183491146.8,53155290663.0,80374482193.1,38489088192.2,1.02059425212e+11,1.57942259293e+11
19,22,China,CHN,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,2.1892190066,2.02047895112,2.14808218108,1.74698005716,0.975813303167,1.15105839882,1.97855807003,1.61877451174,1.39902885943,1.60363682211,3.34688282761,3.62460570575,4.18564901657,4.80040206401,7.10285023845,2.85321391048,4.61294167743,5.61608675181
20,23,China,CHN,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,0.405934571346,0.400119565978,0.390599534365,0.27453485467,0.2079622565,0.112948130315,0.0851967633326,0.0731010389345,0.0648954523964,0.0818125838413,0.0651173049619,0.0603693199963,0.0802054554825,0.0733717184926,0.098678830755,0.075269875266,0.0682631534052,0.0587520175094
21,24,China,CHN,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,2278206298.04,2881889182.32,3313877697.52,2600273348.1,2097569707.74,1214169811.27,1014344144.56,959867811.937,939017727.541,1341480937.25,1261068239.62,1359812895.99,2185309922.26,2590850763.21,4526397966.73,3801798602.83,4105066166.86,4360609990.76
22,25,China,CHN,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,32.1024906143,32.1706459358,29.5189959257,30.0142044882,27.999584413,25.9732374427,23.538670578,24.0167930617,26.4949668826,29.4904736102,31.6298410625,32.3438945323,34.9442727618,34.5215051954,35.2126634913,35.5112213652,33.9794952346,31.5064347671
23,26,China,CHN,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,1.8016720295e+11,2.31711329298e+11,2.50441522954e+11,2.84281338662e+11,2.82412208265e+11,2.79207107861e+11,2.80249058035e+11,3.15357304655e+11,3.83374222301e+11,4.83555295787e+11,6.12546665e+11,7.28542989951e+11,9.52105633377e+11,1.21899922641e+12,1.61520487435e+12,1.79363272881e+12,2.04338752748e+12,2.33842649227e+12
24,27,China,CHN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,14.2108,12.7102,11.2096,9.709,9.3968,9.0846,8.7724,8.4602,8.148,8.0894,8.0308,7.9722,7.9136,7.855,7.7882,7.7214,7.6546,7.5878
